,date,value
207,2019-03-15,1303.5
208,2019-03-14,1295.55
209,2019-03-13,1306.95
210,2019-03-12,1297.05
211,2019-03-11,1292.75
212,2019-03-08,1296.75
213,2019-03-07,1285.3
214,2019-03-06,1285.85
215,2019-03-05,1283.8
216,2019-03-04,1285.4
217,2019-03-01,1311.95
218,2019-02-28,1319.15
219,2019-02-27,1322.85
220,2019-02-26,1325.05
221,2019-02-25,1331.05
222,2019-02-22,1329.05
223,2019-02-21,1331.25
224,2019-02-20,1343.75
225,2019-02-19,1334.15
226,2019-02-18,1325.5
227,2019-02-15,1316.55
228,2019-02-14,1311.45
229,2019-02-13,1312.8
230,2019-02-12,1310.0
231,2019-02-11,1306.4
232,2019-02-08,1314.85
233,2019-02-07,1310.0
234,2019-02-06,1312.4
235,2019-02-05,1314.2
236,2019-02-04,1312.15
237,2019-02-01,1318.7
238,2019-01-31,1323.25
239,2019-01-30,1310.7
240,2019-01-29,1307.55
241,2019-01-28,1302.15
242,2019-01-25,1293.9
243,2019-01-24,1283.7
244,2019-01-23,1279.8
245,2019-01-22,1282.1
246,2019-01-21,1279.55
247,2019-01-18,1284.2
248,2019-01-17,1290.7
249,2019-01-16,1292.3
250,2019-01-15,1294.4
251,2019-01-14,1292.75
252,2019-01-11,1288.95
253,2019-01-10,1291.9
254,2019-01-09,1288.6
255,2019-01-08,1286.45
256,2019-01-07,1292.2
257,2019-01-04,1279.9
258,2019-01-03,1290.45
259,2019-01-02,1282.9
260,2018-12-31,
261,2018-12-28,1279.0
262,2018-12-27,1268.0
263,2018-12-24,
264,2018-12-21,1258.15
265,2018-12-20,1259.75
266,2018-12-19,1255.0
267,2018-12-18,1246.3
268,2018-12-17,1241.65
269,2018-12-14,1235.35
270,2018-12-13,1242.75
271,2018-12-12,1245.75
272,2018-12-11,1245.3
273,2018-12-10,1245.35
274,2018-12-07,1243.3
275,2018-12-06,1242.55
276,2018-12-05,1235.9
277,2018-12-04,1240.3
278,2018-12-03,1230.3
279,2018-11-30,1217.55
280,2018-11-29,1226.25
281,2018-11-28,1213.25
282,2018-11-27,1221.2
283,2018-11-26,1223.4
284,2018-11-23,1223.65
285,2018-11-22,1227.05
286,2018-11-21,1226.1
287,2018-11-20,1223.0
288,2018-11-19,1221.6
289,2018-11-16,1222.4
290,2018-11-15,1211.85
291,2018-11-14,1203.25
292,2018-11-13,1202.1
293,2018-11-12,1205.55
294,2018-11-09,1211.4
295,2018-11-08,1224.15
296,2018-11-07,1229.95
297,2018-11-06,1231.6
298,2018-11-05,1232.25
299,2018-11-02,1232.1
300,2018-11-01,1231.15
301,2018-10-31,1214.95
302,2018-10-30,1225.4
303,2018-10-29,1230.8
304,2018-10-26,1233.85
305,2018-10-25,1230.8
306,2018-10-24,1230.55
307,2018-10-23,1235.95
308,2018-10-22,1222.3
309,2018-10-19,1227.85
310,2018-10-18,1223.0
311,2018-10-17,1229.05
312,2018-10-16,1230.7
313,2018-10-15,1229.95
314,2018-10-12,1219.75
315,2018-10-11,1205.55
316,2018-10-10,1188.6
317,2018-10-09,1185.55
318,2018-10-08,1186.95
319,2018-10-05,1203.8
320,2018-10-04,1203.45
321,2018-10-03,1201.2
322,2018-10-02,1204.7
323,2018-10-01,1189.35
324,2018-09-28,1187.25
325,2018-09-27,1185.4
326,2018-09-26,1194.25
327,2018-09-25,1201.9
328,2018-09-24,1202.75
329,2018-09-21,1198.7
330,2018-09-20,1208.35
331,2018-09-19,1203.3
332,2018-09-18,1200.2
333,2018-09-17,1201.9
334,2018-09-14,1201.95
335,2018-09-13,1209.8
336,2018-09-12,1195.6
337,2018-09-11,1189.85
338,2018-09-10,1196.6
339,2018-09-07,1198.9
340,2018-09-06,1205.15
341,2018-09-05,1196.7
342,2018-09-04,1190.85
343,2018-09-03,1200.05
344,2018-08-31,1202.45
345,2018-08-30,1197.3
346,2018-08-29,1204.2
347,2018-08-28,1212.25
348,2018-08-24,1197.7
349,2018-08-23,1192.35
350,2018-08-22,1196.65
351,2018-08-21,1190.95
352,2018-08-20,1184.35
353,2018-08-17,1178.4
354,2018-08-16,1180.4
355,2018-08-15,1182.0
356,2018-08-14,1197.0
357,2018-08-13,1200.35
358,2018-08-10,1214.4
359,2018-08-09,1214.35
360,2018-08-08,1209.55
361,2018-08-07,1212.35
362,2018-08-06,1209.65
363,2018-08-03,1216.3
364,2018-08-02,1215.45
365,2018-08-01,1219.0
366,2018-07-31,1220.95
367,2018-07-30,1223.8
368,2018-07-27,1223.95
369,2018-07-26,1228.25
370,2018-07-25,1231.5
371,2018-07-24,1228.35
372,2018-07-23,1224.95
373,2018-07-20,1228.75
374,2018-07-19,1217.55
375,2018-07-18,1224.5
376,2018-07-17,1232.8
377,2018-07-16,1241.1
378,2018-07-13,1241.7
379,2018-07-12,1245.9
380,2018-07-11,1251.4
381,2018-07-10,1254.0
382,2018-07-09,1262.05
383,2018-07-06,1255.35
384,2018-07-05,1255.5
385,2018-07-04,1255.65
386,2018-07-03,1251.75
387,2018-07-02,1247.8
388,2018-06-29,1250.45
389,2018-06-28,1251.55
390,2018-06-27,1254.6
391,2018-06-26,1260.3
392,2018-06-25,1268.7
393,2018-06-22,1269.15
394,2018-06-21,1266.15
395,2018-06-20,1274.2
396,2018-06-19,1276.15
397,2018-06-18,1281.55
398,2018-06-15,1285.25
399,2018-06-14,1302.75
400,2018-06-13,1296.15
401,2018-06-12,1298.65
402,2018-06-11,1299.6
403,2018-06-08,1298.25
404,2018-06-07,1297.25
405,2018-06-06,1300.1
406,2018-06-05,1292.05
407,2018-06-04,1295.45
408,2018-06-01,1294.6
409,2018-05-31,1305.35
410,2018-05-30,1300.7
411,2018-05-29,1295.5
412,2018-05-25,1303.5
413,2018-05-24,1304.85
414,2018-05-23,1289.0
415,2018-05-22,1293.05
416,2018-05-21,1288.35
417,2018-05-18,1288.3
418,2018-05-17,1289.5
419,2018-05-16,1291.25
420,2018-05-15,1295.0
421,2018-05-14,1319.85
422,2018-05-11,1324.35
423,2018-05-10,1318.8
424,2018-05-09,1313.85
425,2018-05-08,1306.6
426,2018-05-04,1309.4
427,2018-05-03,1315.05
428,2018-05-02,1304.2
429,2018-05-01,1307.1
430,2018-04-30,1313.2
431,2018-04-27,1321.5
432,2018-04-26,1320.7
433,2018-04-25,1321.65
434,2018-04-24,1328.85
435,2018-04-23,1324.3
436,2018-04-20,1336.75
437,2018-04-19,1348.6
438,2018-04-18,1351.45
439,2018-04-17,1342.1
440,2018-04-16,1349.35
441,2018-04-13,1343.7
442,2018-04-12,1341.35
443,2018-04-11,1350.75
444,2018-04-10,1338.95
445,2018-04-09,1331.95
446,2018-04-06,1331.2
447,2018-04-05,1327.7
448,2018-04-04,1337.3
449,2018-04-03,1333.45
450,2018-03-29,1323.85
451,2018-03-28,1332.45
452,2018-03-27,1341.45
453,2018-03-26,1352.4
454,2018-03-23,1346.6
455,2018-03-22,1329.15
456,2018-03-21,1321.35
457,2018-03-20,1311.0
458,2018-03-19,1312.4
459,2018-03-16,1310.1
460,2018-03-15,1318.75
461,2018-03-14,1323.55
462,2018-03-13,1322.75
463,2018-03-12,1319.15
464,2018-03-09,1320.6
465,2018-03-08,1321.0
466,2018-03-07,1329.4
467,2018-03-06,1331.4
468,2018-03-05,1320.4
469,2018-03-02,1322.3
470,2018-03-01,1307.75
471,2018-02-28,1317.85
472,2018-02-27,1325.75
473,2018-02-26,1333.5
474,2018-02-23,1327.95
475,2018-02-22,1328.35
476,2018-02-21,1330.5
477,2018-02-20,1339.85
478,2018-02-19,1346.6
479,2018-02-16,1352.1
480,2018-02-15,1352.45
481,2018-02-14,1336.25
482,2018-02-13,1325.35
483,2018-02-12,1322.3
484,2018-02-09,1314.1
485,2018-02-08,1315.45
486,2018-02-07,1324.65
487,2018-02-06,1331.4
488,2018-02-05,1333.6
489,2018-02-02,1331.15
490,2018-02-01,1341.35
491,2018-01-31,1345.05
492,2018-01-30,1344.9
493,2018-01-29,1343.85
494,2018-01-26,1353.15
495,2018-01-25,1354.95
496,2018-01-24,1353.7
497,2018-01-23,1333.4
498,2018-01-22,1332.6
499,2018-01-19,1334.95
500,2018-01-18,1332.2
501,2018-01-17,1335.65
502,2018-01-16,1333.85
503,2018-01-15,1339.25
504,2018-01-12,1326.8
505,2018-01-11,1323.05
506,2018-01-10,1319.75
507,2018-01-09,1311.0
508,2018-01-08,1319.95
509,2018-01-05,1317.15
510,2018-01-04,1314.5
511,2018-01-03,1314.9
512,2018-01-02,1312.05
513,2017-12-29,
514,2017-12-28,1291.0
515,2017-12-27,1279.4
516,2017-12-22,
517,2017-12-21,1264.55
518,2017-12-20,1264.55
519,2017-12-19,1260.35
520,2017-12-18,1260.6
521,2017-12-15,1254.6
522,2017-12-14,1251.0
523,2017-12-13,1242.65
524,2017-12-12,1240.9
525,2017-12-11,1247.15
526,2017-12-08,1250.65
527,2017-12-07,1255.0
528,2017-12-06,1263.7
529,2017-12-05,1266.3
530,2017-12-04,1273.45
531,2017-12-01,1275.5
532,2017-11-30,1280.2
533,2017-11-29,1283.85
534,2017-11-28,1291.85
535,2017-11-27,1294.9
536,2017-11-24,1290.5
537,2017-11-23,1290.35
538,2017-11-22,1286.95
